country,asfr15,asfr20,asfr25,asfr30,asfr35,asfr40,asfr45
Burundi,17.1873,75.1215,113.4454,120.5385,85.8366,35.5746,5.507
Comoros,15.6756,80.5663,109.827,127.7868,50.4823,14.457,5.2309
Djibouti,7.5397,38.0278,88.9278,114.4416,72.2084,18.6051,1.5972
Eritrea,7.6929,70.4531,116.5992,123.6914,53.3858,12.0186,0.6781
Ethiopia,12.0354,57.9665,105.4934,104.9283,55.4732,14.2336,2.5182
Kenya,15.5411,60.3161,110.2376,98.9044,46.73,11.3871,1.6169
Madagascar,25.5534,91.9963,147.9311,105.6946,44.827,10.8993,1.1805
Malawi,34.8638,79.5622,110.7386,103.9151,43.7307,9.3426,0.5545
Mauritius,6.5863,38.5683,96.6832,119.3383,64.6178,13.3009,0.7282
Mayotte,12.5667,54.2022,97.4214,106.7166,66.4784,18.4166,1.967
Mozambique,30.1728,80.1676,107.8329,110.1228,66.8512,25.8914,1.2385
Réunion,7.4478,43.1105,100.4819,118.3388,61.7707,12.8112,0.6895
Rwanda,12.4833,50.5658,101.822,109.5585,62.8406,12.6398,0.7369
Seychelles,8.5694,45.6145,109.1664,109.9291,55.945,11.3891,0.5589
Somalia,16.3557,90.3789,185.1596,125.7856,48.2962,9.1392,1.7981
South Sudan,6.2616,68.3925,170.5064,122.5842,38.3463,8.4747,1.3677
Uganda,16.9527,65.0057,103.6729,96.157,54.1648,20.687,1.0214
United Republic of Tanzania,33.3856,103.2288,141.7917,110.9322,80.2536,11.7677,0.6196
Zambia,31.048,94.3598,120.4808,111.9605,93.3515,21.4763,1.0494
Zimbabwe,9.4942,50.5255,102.4036,122.5171,58.5782,14.9649,0.4492
Angola,33.471,93.6359,134.5852,135.0294,85.2226,29.4966,4.372
Cameroon,20.8961,82.6746,87.5944,120.9413,106.6724,25.2298,4.524
Central African Republic,20.9634,64.5276,100.5075,103.8265,63.2942,21.3375,3.2496
Chad,29.1961,72.352,105.1157,96.8462,86.6426,42.2635,9.8323
Congo,35.3486,88.9759,117.7418,120.1661,78.3363,29.7592,1.808
Democratic Republic of the Congo,27.2523,78.8951,139.2962,82.2245,69.4042,21.9263,0.4299
Equatorial Guinea,28.8716,77.4708,107.4703,109.279,46.871,11.1022,0.9897
Gabon,14.8114,50.4338,115.9671,103.9691,87.5651,31.2032,1.013
Sao Tome and Principe,27.8924,89.4343,93.1027,102.2656,74.9207,55.6089,4.0452
Botswana,10.096,49.6705,106.6103,104.4582,54.1922,13.9587,0.9261
Eswatini,11.2564,54.9961,104.4639,99.2612,40.9504,8.1209,0.8349
Lesotho,25.7739,66.6708,97.6399,102.3064,47.4338,16.9077,0.442
Namibia,9.2146,61.7998,105.965,108.5267,66.4833,14.9421,0.3256
South Africa,8.1323,44.1645,102.2074,106.8826,56.4512,13.3569,0.807
Benin,16.3211,86.4179,172.3158,125.4156,50.6244,11.279,1.6638
Burkina Faso,19.4789,79.5197,142.6512,117.2984,62.043,14.6287,1.6709
Cabo Verde,7.1745,41.3286,101.0807,112.8219,61.0169,12.6375,0.7652
Côte d'Ivoire,34.3766,84.7965,117.0922,120.9775,76.5046,27.8989,4.8802
Gambia,8.9642,48.589,102.3307,112.1814,97.4305,23.5671,3.242
Ghana,19.7449,52.8998,110.0717,142.0703,70.5709,7.7446,2.08
Guinea,33.2193,65.1085,110.5158,117.0497,66.2974,21.9104,8.3799
Guinea-Bissau,26.0581,60.1982,104.3064,109.7642,89.457,22.8319,3.3627
Liberia,45.844,71.8178,97.562,122.4393,60.0742,14.2999,0.5228
Mali,35.2706,70.8299,126.7001,109.4755,56.7663,19.683,9.9859
Mauritania,16.87,78.4287,111.4774,135.9495,102.8287,27.5857,0.983
Niger,31.5222,94.4592,120.7375,122.2136,80.0208,18.9221,7.7804
Nigeria,22.4455,93.3384,109.9024,106.3234,96.5572,23.0982,4.1616
Senegal,12.6475,67.2415,123.7233,118.2735,83.4513,37.7411,8.6092
Sierra Leone,16.5942,65.73,111.7423,98.8123,48.8408,7.4391,1.644
Togo,34.9971,88.4859,132.16,99.8749,54.7438,16.2007,0.8563
Algeria,5.5999,48.2012,101.5667,117.1592,68.1493,22.9965,2.0011
Egypt,14.9086,90.0948,96.9497,93.4045,57.5443,8.8932,4.6853
Libya,6.182,38.1787,94.8604,117.6852,72.543,19.8321,1.8982
Morocco,7.4714,42.6523,98.6352,114.083,66.1087,14.8265,0.8459
Sudan,4.1828,42.3303,118.829,130.4617,118.5711,27.0306,0.6437
Tunisia,7.1505,41.2546,103.6335,115.6566,69.5991,14.2358,0.8085
