country,Period,Age (x),Age interval (n),nmx,nqx,npx,lx,ndx,nLx,nSx,Tx,e0x,nax
Burundi,2095-2100,0,1,0.00797547,0.00791708,0.99208292,100000,791.708,99267.932,0.99082201,7940689.88,79.4069,0.0753
Burundi,2095-2100,1,4,0.00069958,0.00279346,0.99720654,99208.292,277.134,396143.074,0.99759563,7841421.948,79.04,1.5099
Burundi,2095-2100,5,5,0.00035282,0.00176257,0.99823743,98931.158,174.373,494219.857,0.99840784,7445278.874,75.2572,2.5
Burundi,2095-2100,10,5,0.00028449,0.00142146,0.99857854,98756.785,140.379,493432.979,0.99831565,6951059.017,70.3856,2.5
Burundi,2095-2100,15,5,0.00041498,0.0020729,0.9979271,98616.406,204.422,492601.864,0.99750618,6457626.038,65.4823,2.6511
Burundi,2095-2100,20,5,0.00059001,0.00294591,0.99705409,98411.984,289.913,491373.402,0.99657518,5965024.175,60.6128,2.632
Burundi,2095-2100,25,5,0.00078657,0.00392549,0.99607451,98122.071,385.177,489690.537,0.99552588,5473650.773,55.7841,2.612
Burundi,2095-2100,30,5,0.00101783,0.00507684,0.99492316,97736.893,496.194,487499.602,0.99411357,4983960.236,50.9936,2.6121
Burundi,2095-2100,35,5,0.00136092,0.00678255,0.99321745,97240.699,659.54,484629.969,0.99218515,4496460.634,46.2405,2.6142
Burundi,2095-2100,40,5,0.0017851,0.00888739,0.99111261,96581.159,858.355,480842.657,0.99018107,4011830.665,41.5384,2.5964
Burundi,2095-2100,45,5,0.00220064,0.01094589,0.98905411,95722.804,1047.771,476121.299,0.98666583,3530988.008,36.8876,2.6209
Burundi,2095-2100,50,5,0.00326069,0.01617938,0.98382062,94675.033,1531.783,469772.617,0.98077126,3054866.708,32.2669,2.6481
Burundi,2095-2100,55,5,0.00462924,0.02289888,0.97710112,93143.25,2132.876,460739.483,0.97069125,2585094.091,27.754,2.6666
Burundi,2095-2100,60,5,0.00759963,0.03734548,0.96265452,91010.374,3398.826,447235.786,0.95091238,2124354.608,23.3419,2.7004
Burundi,2095-2100,65,5,0.01306718,0.06343039,0.93656961,87611.548,5557.235,425282.045,0.91641911,1677118.823,19.1427,2.7011
Burundi,2095-2100,70,5,0.02273498,0.10798521,0.89201479,82054.314,8860.653,389736.594,0.8594547,1251836.778,15.2562,2.6825
